MIN de Rungis : fruits et légumes 1 - (Fruits et Légumes - Grossistes) du 01-01-17 au 01-01-18 - RNM
Date;Code libellé;Libellé;Mini;Maxi;Moyen;Unité prix
2017-01-02;20310123;AIL blanc sec Espagne cat.I 60-80mm sac 5kg;3,7;4;3,8;le kg
2017-01-02;57216567;AIL violet sec Espagne cat.I 60-80mm;3,8;4,2;4;le kg
2017-01-02;26830123;AIL violet sec France cat.I 60-80mm;5;6;5,5;le kg
2017-01-02;28830123;ANANAS Afrique B(1100-1500g) avion;2,3;2,6;2,4;le kg
2017-01-02;24530123;ANANAS Sweet Costa-Rica cat.I B(1100-1500g) bateau conteneur;1,05;1,2;1,1;le kg
2017-01-02;57218041;ANANAS Sweet Côte d'Ivoire cat.I B(1100-1500g) bateau conteneur;1,1;1,2;1,15;le kg
2017-01-02;9410123;ARTICHAUT blanc Espagne cat.I 11-13cm colis de 18;1,5;1,7;1,6;le kg
2017-01-02;26870123;AUBERGINE Espagne cat.I;2;2,4;2,2;le kg
2017-01-02;3890123;AVOCAT Hass Espagne colis de 16;15;16;15,5;les 16 pièces
2017-01-02;4270123;AVOCAT Hass Espagne colis de 20;14,5;15,5;15;les 20 pièces
2017-01-02;25870123;BANANE Afrique extra;0,9;1;0,95;le kg
2017-01-02;25880123;BANANE Amérique centrale extra;0,9;1;0,95;le kg
2017-01-02;25900123;BANANE DOM extra;0,9;1;0,95;le kg
2017-01-02;19950123;BETTE Italie;1,2;1,4;1,3;le kg
2017-01-02;9420123;BETTERAVE ROUGE ronde cuite France;1,6;1,8;1,7;le kg
2017-01-02;9740123;CAROTTE France cat.I botte;1;1,2;1,1;la botte
2017-01-02;9460123;CAROTTE France cat.I sac 10kg;0,42;0,46;0,43;le kg
2017-01-02;420123;CAROTTE France extra colis 12kg;0,55;0,6;0,58;le kg
2017-01-02;400123;CÉLERI-BRANCHE vert France cat.I;0,9;1,1;1;le kg
2017-01-02;370123;CÉLERI-RAVE France;0,9;1,1;1;le kg
2017-01-02;23500123;CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau;2;2,15;2,05;le kg
2017-01-02;28670123;CHICORÉE Frisée fine Espagne cat.I colis de 10;11;12;11,5;les 10 pièces
