;Origine;libellé;Mars2020;Avril2020;Mai2020;Juin2020;Juil.2020;Août2020;Septe.2020;Octo.2020;Nove.2020;Déce.2020;Janv.2021;Févr.2021
0;Marché de Perpignan carreau : fruits et légumes; CHICORÉE frisée Roussillon colis de 6 (les 6 pièces) ; 7.00; 7.00; 7.00; 7.00;  ;  ;  ;  ; 7.50; 7.50; 7.50; 7.50
1;Marché de Perpignan carreau : fruits et légumes; CHICORÉE frisée Roussillon colis de 8 (les 8 pièces) ; 8.00; 8.00; 8.00; 8.00;  ;  ;  ;  ;  ;  ;  ;  
2;Marché de Perpignan carreau : fruits et légumes; CHICORÉE Scarole Roussillon colis de 6 (les 6 pièces) ; 7.00; 7.00; 7.00; 7.00;  ;  ;  ;  ; 7.50; 7.50; 7.50; 7.50
3;Marché de producteurs de Vivy : fruits et légumes; CHICORÉE Cornette Val de Loire (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.00; 2.00; 2.01; 2.15; 2.24
4;MIN de Cavaillon carreau : fruits et légumes; CHICORÉE frisée Sud-Est (la pièce) ; 1.00;  ;  ;  ;  ;  ;  ; 1.20; 1.20; 1.20; 1.20; 1.27
5;MIN de Cavaillon carreau : fruits et légumes; CHICORÉE Scarole Sud-Est (la pièce) ; 1.00;  ; 1.00; 1.00; 1.00;  ;  ;  ;  ;  ;  ;  
6;MIN de Châteaurenard carreau : fruits et légumes; CHICORÉE frisée Sud-Est (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ; 0.70; 0.70;  ;  
7;MIN de Châteaurenard carreau : fruits et légumes; CHICORÉE Scarole Sud-Est (la pièce) ;  ;  ;  ;  ;  ;  ;  ; 1.25; 1.25;  ;  ;  
8;Bassin Roussillon : fruits et légumes; CHICORÉE frisée Roussillon cat.I colis de 8 (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.20; 1.20; 1.28; 1.30
9;Bassin Roussillon : fruits et légumes; CHICORÉE Scarole Roussillon cat.I colis de 8 (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.20; 1.10; 1.28; 1.30
10;Bassins Sud-Est et Roussillon : fruits et légumes bio; CHICORÉE frisée Méditerranée biologique colis de 8 (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.19; 1.23; 1.19; 1.36
11;Bassins Sud-Est et Roussillon : fruits et légumes bio; CHICORÉE Scarole Méditerranée biologique colis de 8 (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.19; 1.23; 1.03; 1.43
12;Bassin Sud-Est : fruits et légumes 1; CHICORÉE frisée Sud-Est cat.I (la pièce) ; 1.41; 1.38; 1.35;  ;  ;  ;  ;  ; 1.31; 1.27;  ;  
13;Bassin Sud-Est : fruits et légumes 1; CHICORÉE Scarole Sud-Est cat.I (la pièce) ; 1.41; 1.39; 1.35;  ;  ;  ;  ;  ; 1.32; 1.28;  ;  
14;France : fruits et légumes bio - expédition; CHICORÉE frisée France biologique (la pièce) ; 1.27;  ; 1.12; 1.12;  ;  ; 1.18; 1.31; 1.18; 1.24; 1.21; 1.30
15;France : fruits et légumes bio - expédition; CHICORÉE Scarole France biologique (la pièce) ; 1.22;  ; 1.08; 1.06;  ;  ; 1.18; 1.31; 1.21; 1.31; 1.10; 1.33
16;France : fruits et légumes bio - grossistes; CHICORÉE frisée France biologique (la pièce) ; 1.55; 1.53; 1.61; 1.36;  ;  ; 1.47; 1.43; 1.51; 1.54; 1.61; 1.41
17;France : fruits et légumes bio - grossistes; CHICORÉE Scarole France biologique (la pièce) ; 1.50; 1.53; 1.60;  ;  ;  ; 1.47; 1.44; 1.40; 1.57; 1.50; 1.47
18;Marché de Lyon-Corbas : fruits et légumes; CHICORÉE frisée Espagne cat.I colis de 10 (la pièce) ; 1.65; 1.65;  ;  ;  ;  ;  ;  ;  ; 1.52; 1.64; 1.66
19;Marché de Lyon-Corbas : fruits et légumes; CHICORÉE frisée France cat.I colis de 10 (la pièce) ; 1.78; 1.69; 1.70; 1.67; 1.63; 1.64; 1.53; 1.53; 1.60; 1.57; 1.62;  
20;Marché de Lyon-Corbas : fruits et légumes; CHICORÉE Rouge de Trévise Allemagne cat.I (le kg) ;  ;  ;  ; 2.44; 2.40; 2.37; 2.48; 2.66; 2.64;  ;  ;  
21;Marché de Lyon-Corbas : fruits et légumes; CHICORÉE Rouge de Trévise Italie cat.I (le kg) ; 2.11; 2.29; 2.08; 2.27; 2.18; 2.21; 2.52; 2.54; 2.38; 2.24; 2.16; 1.94
