;Produit;Prix moyen;Variation;Prix min;Prix max
0; FIGUE de Barbarie fraîche U.E. moyenne ;2.37; =; 1.70; 3.00
1; ABRICOT hors Fr. cat.I plateau ;22.50; =; 22.00; 25.00
2; CLÉMENTINE U.E. biologique ;2.28; =; 1.63; 4.13
3; CLÉMENTINE Nadorcot Maroc cat.I 2 ;1.50; +0.05;  ;  
4; CLÉMENTINE Or Israël cat.I 1 ;2.30; +0.05; 2.30; 2.40
5; CLÉMENTINE Or Israël cat.I 2 ;2.10; +0.10; 2.00; 2.20
6; CLÉMENTINE Or Israël extra 1 ;2.45; =; 2.40; 2.55
7; CLÉMENTINE Or de marque Israël cat.I 1-X ;2.40; -0.05; 2.20; 3.10
8; CLÉMENTINE Espagne cat.I 1 ;2.50; +0.60;  ;  
9; CLÉMENTINE Or Israël cat.I 2 ;2.30; +0.05; 2.00; 2.60
10; CLÉMENTINE Or Israël extra 1 ;2.80; +0.20; 2.50; 3.00
11; CLÉMENTINE Import cat.I 2 ;2.35; +0.15; 2.20; 2.50
12; CLÉMENTINE Or de marque Israël cat.I 1-X ;2.80; +0.30; 2.60; 3.00
13; CLÉMENTINE Or Israël cat.I 1-X ;2.20; +0.05; 2.00; 2.40
14; CLÉMENTINE Or Espagne cat.I 1 ;3.00; =; 2.60; 3.50
15; CLÉMENTINE Or Espagne cat.I 2 ;2.60; =; 2.40; 2.80
16; CLÉMENTINE Or Espagne cat.I 3 ;2.50; =; 2.40; 2.60
17; CLÉMENTINE Or Israël cat.I 1 ;3.00; =; 2.50; 3.50
18; CLÉMENTINE Or Israël cat.I 2 ;2.60; =; 2.40; 2.80
19; CLÉMENTINE Or Israël cat.I 3 ;2.00; =; 1.80; 2.30
20; CLÉMENTINE Or Israël cat.II 1 ;2.10; =; 2.00; 2.30
21; CLÉMENTINE Or Israël cat.II 2 ;2.00; =; 1.90; 2.20
22; CLÉMENTINE U.E. biologique ;2.38; -0.31;  ;  
23; CLÉMENTINE Or Israël feuille cat.I ;2.50; +0.10; 1.80; 2.80
24; CLÉMENTINE U.E. feuille cat.I ;2.25; =;  ;  
25; CLÉMENTINE Or Israël cat.I 1 ;2.20; =; 1.90; 2.30
26; CLÉMENTINE Or Israël cat.I 1-X ;2.30; =; 2.00; 2.40
27; CLÉMENTINE Or Israël cat.II 1-X ;2.10; =; 2.00; 2.20
28; CLÉMENTINE Or Israël extra 1 ;2.70; =; 2.60; 2.90
29; CLÉMENTINE U.E. biologique ;2.07; +0.02; 1.63; 2.50
30; CLÉMENTINE Espagne feuille cat.I 2 ;1.75; =; 1.60; 1.85
31; CLÉMENTINE haut de gamme Espagne cat.I ;2.60; =; 2.40; 3.00
32; CLÉMENTINE Or Espagne cat.I cal 1-2 ;2.53; =; 2.20; 3.00
33; CLÉMENTINE Nadorcot Espagne cat.I 1 ;2.25; =; 2.00; 2.30
34; CLÉMENTINE U.E. biologique ;3.31; =; 2.15; 3.99
35; MORILLE Import ;90.00; =;  ;  
36; PÊCHE chair jaune hors Fr. cat.I A ;23.00; =; 22.00; 25.00
37; CARDON Espagne cat.I ;0.85; =; 0.70; 0.90
38; RADIS noir Rhône-Alpes ;1.40; =;  ;  
39; RADIS Rhône-Alpes botte (la botte) ;0.80; =;  ;  
40; RADIS rouge Val de Loire botte (la botte) (qte:botte(s)) ;0.70; =; 0.70; 0.70
41; RADIS Val de Loire botte (la botte) (qte:botte(s)) ;0.65; +0.03; 0.60; 0.70
42; RADIS noir Sud-Ouest ;1.40; +0.20;  ;  
43; RADIS rond Sud-Ouest sous-abri botte (les 100 bottes) ;75.00; +1.00; 75.00; 75.00
44; RADIS Sud-Ouest botte (les 100 bottes) ;67.00; =; 66.00; 75.00
45; RADIS noir Roussillon ;1.50; =;  ;  
