;Produit;Prix 1;Prix 2;Prix 3;Prix 4;Prix 5;Prix 6;Prix 7;Prix 8;Prix 9;Prix 10;Prix 11;Prix 12
0; ABRICOT Bergeron Rhône-Alpes cat.I 40-45mm (le kg) ;  ;  ;  ;  ; 2.20;  ;  ;  ;  ;  ;  ;  
1; ABRICOT Bergeron Rhône-Alpes cat.I 45-50mm (le kg) ;  ;  ;  ; 3.00; 2.70; 2.50;  ;  ;  ;  ;  ;  
2; ABRICOT Bergeron Rhône-Alpes cat.I 50-55mm (le kg) ;  ;  ;  ;  ; 2.87; 2.80;  ;  ;  ;  ;  ;  
3; ABRICOT type orangé rouge Rhône-Alpes cat.I 40-45mm (le kg) ;  ;  ;  ; 2.09; 2.10;  ;  ;  ;  ;  ;  ;  
4; ABRICOT type orangé rouge Rhône-Alpes cat.I 45-50mm (le kg) ;  ;  ;  ; 2.54; 2.55;  ;  ;  ;  ;  ;  ;  
5; ABRICOT type orangé rouge Rhône-Alpes cat.I 50-55mm (le kg) ;  ;  ;  ; 3.03; 2.79;  ;  ;  ;  ;  ;  ;  
6; ABRICOT Royal Roussillon Roussillon cat.I 45-50mm (le kg) ;  ;  ;  ; 2.30; 2.00;  ;  ;  ;  ;  ;  ;  
7; ABRICOT Royal Roussillon Roussillon cat.I 50-55mm (le kg) ;  ;  ;  ; 2.50; 2.50;  ;  ;  ;  ;  ;  ;  
8; ABRICOT type orangé rouge Roussillon cat.I 40-45mm (le kg) ;  ;  ; 2.53;  ; 2.00; 2.00;  ;  ;  ;  ;  ;  
9; ABRICOT type orangé rouge Roussillon cat.I 45-50mm (le kg) ;  ;  ; 2.83; 2.19; 2.35; 2.40;  ;  ;  ;  ;  ;  
10; ABRICOT type orangé rouge Roussillon cat.I 50-55mm (le kg) ;  ;  ; 3.15; 2.44; 2.50; 2.50;  ;  ;  ;  ;  ;  
11; ABRICOT Sud-Ouest cat.I 40-45mm (le kg) ;  ;  ;  ;  ; 3.25;  ;  ;  ;  ;  ;  ;  
12; ABRICOT Sud-Ouest cat.I 45-50mm (le kg) ;  ;  ;  ; 4.00;  ;  ;  ;  ;  ;  ;  ;  
13; ABRICOT type orangé rouge Sud-Est 40-45mm plateau (le kg) ;  ;  ;  ;  ; 2.05;  ;  ;  ;  ;  ;  ;  
14; ABRICOT type orangé rouge Sud-Est 45-50mm plateau (le kg) ;  ;  ;  ;  ; 2.55;  ;  ;  ;  ;  ;  ;  
15; ABRICOT type orangé rouge Sud-Est 50-55mm plateau (le kg) ;  ;  ;  ;  ; 3.00;  ;  ;  ;  ;  ;  ;  
16; ABRICOT Bergarouge Sud-Est 45-50mm plateau (le kg) ;  ;  ;  ; 2.45; 2.46;  ;  ;  ;  ;  ;  ;  
17; ABRICOT Bergarouge Sud-Est 50-55mm plateau (le kg) ;  ;  ;  ; 2.96; 2.62;  ;  ;  ;  ;  ;  ;  
18; ABRICOT Bergeron Sud-Est 40-45mm plateau (le kg) ;  ;  ;  ;  ; 1.50;  ;  ;  ;  ;  ;  ;  
19; ABRICOT Bergeron Sud-Est 45-50mm plateau (le kg) ;  ;  ;  ; 1.80; 2.50;  ;  ;  ;  ;  ;  ;  
20; ABRICOT Bergeron Sud-Est 50-55mm plateau (le kg) ;  ;  ;  ;  ; 2.30;  ;  ;  ;  ;  ;  ;  
21; ABRICOT Orangered Sud-Est 40-45mm plateau (le kg) ;  ;  ;  ; 2.05;  ;  ;  ;  ;  ;  ;  ;  
22; ABRICOT Orangered Sud-Est 45-50mm plateau (le kg) ;  ;  ;  ; 2.96;  ;  ;  ;  ;  ;  ;  ;  
23; ABRICOT Orangered Sud-Est 50-55mm plateau (le kg) ;  ;  ;  ; 3.51;  ;  ;  ;  ;  ;  ;  ;  
24; ABRICOT Orangered Sud-Est 55-60mm plateau (le kg) ;  ;  ;  ; 3.80;  ;  ;  ;  ;  ;  ;  ;  
25; ABRICOT type orangé rouge Sud-Est 35-40mm plateau (le kg) ;  ;  ; 1.30;  ;  ;  ;  ;  ;  ;  ;  ;  
26; ABRICOT type orangé rouge Sud-Est 40-45mm plateau (le kg) ;  ;  ; 1.84; 1.77; 1.70;  ;  ;  ;  ;  ;  ;  
27; ABRICOT type orangé rouge Sud-Est 45-50mm plateau (le kg) ;  ;  ; 2.80; 2.39; 2.30;  ;  ;  ;  ;  ;  ;  
28; ABRICOT type orangé rouge Sud-Est 50-55mm plateau (le kg) ;  ;  ; 2.98; 2.63; 2.54;  ;  ;  ;  ;  ;  ;  
29; ABRICOT type orangé rouge Sud-Est 55-60mm plateau (le kg) ;  ;  ; 2.80; 2.73; 2.60;  ;  ;  ;  ;  ;  ;  
30; ABRICOT type orange Sud-Est 40-45mm plateau (le kg) ;  ;  ;  ;  ; 1.50;  ;  ;  ;  ;  ;  ;  
31; ABRICOT type orange Sud-Est 45-50mm plateau (le kg) ;  ;  ;  ;  ; 1.83;  ;  ;  ;  ;  ;  ;  
32; ABRICOT type orange Sud-Est 50-55mm plateau (le kg) ;  ;  ;  ;  ; 2.00;  ;  ;  ;  ;  ;  ;  
33; ABRICOT variétés tardives Sud-Est 40-45mm plateau (le kg) ;  ;  ;  ;  ; 1.85;  ;  ;  ;  ;  ;  ;  
34; ABRICOT variétés tardives Sud-Est 45-50mm plateau (le kg) ;  ;  ;  ;  ; 2.28;  ;  ;  ;  ;  ;  ;  
35; ABRICOT variétés tardives Sud-Est 50-55mm plateau (le kg) ;  ;  ;  ;  ; 2.41;  ;  ;  ;  ;  ;  ;  
36; ABRICOT Bergarouge Rhône-Alpes cat.I 45-50mm plateau (le kg) ;  ;  ;  ; 2.50; 2.43;  ;  ;  ;  ;  ;  ;  
37; ABRICOT Bergarouge Rhône-Alpes cat.I 50-55mm plateau (le kg) ;  ;  ;  ; 2.80; 2.69;  ;  ;  ;  ;  ;  ;  
38; ABRICOT Bergeron Rhône-Alpes cat.I 40-45mm plateau (le kg) ;  ;  ;  ;  ; 2.01;  ;  ;  ;  ;  ;  ;  
