;Origine;libellé;Avril2020;Mai2020;Juin2020;Juil.2020;Août2020;Septe.2020;Octo.2020;Nove.2020;Déce.2020;Janv.2021;Févr.2021;Mars2021
0;Marché de Lyon-Corbas carreau : fruits et légumes; BETTE Rhône-Alpes (le kg) ;  ; 1.45; 1.45; 1.41; 1.31; 1.31; 1.31; 1.40; 1.35; 1.39; 1.75; 1.70
1;Marché de Perpignan carreau : fruits et légumes; BETTE Roussillon botte (la botte) ; 1.10; 1.10; 1.10;  ; 1.10; 1.10; 1.10; 1.10; 1.10; 1.10; 1.10; 1.10
2;Marché de Perpignan carreau : fruits et légumes; BETTE Roussillon pied entier (le kg) ; 1.00; 1.00; 1.00;  ;  ;  ;  ;  ;  ;  ;  ;  
3;MIN d'Agen carreau : fruits et légumes; BETTE Sud-Ouest botte (les 12 bottes) ;  ;  ;  ; 13.00; 13.00;  ; 14.00; 15.50;  ;  ; 18.00; 16.25
4;MIN de Cavaillon carreau : fruits et légumes; BETTE Sud-Est (le kg) ;  ;  ;  ;  ;  ;  ; 1.00; 1.33; 1.50; 1.50; 1.27; 1.20
5;MIN de Châteaurenard carreau : fruits et légumes; BETTE Sud-Est (le kg) ; 1.35;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
6;Bassins Sud-Est et Roussillon : fruits et légumes bio; BETTE Méditerranée biologique plateau (le kg) ; 1.82; 1.83;  ;  ;  ;  ; 1.77; 1.80; 1.75; 1.80; 2.00; 1.79
7;Bassins Sud-Est et Roussillon : fruits et légumes bio; BETTE Méditerranée pied entier biologique plateau (le kg) ; 1.88;  ;  ;  ;  ;  ;  ;  ;  ; 1.65; 1.85;  
8;France : fruits et légumes bio - expédition; BETTE France biologique vrac (le kg) ; 1.80; 1.81; 1.60; 1.80; 1.47; 1.65; 1.83; 1.74; 1.81; 1.94; 2.11; 1.97
9;France : fruits et légumes bio - import; BETTE Espagne biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.55; 1.50; 1.39
10;France : fruits et légumes bio - grossistes; BETTE France biologique vrac (le kg) ; 2.31; 2.47; 2.46; 2.46; 2.29; 2.42; 2.45; 2.36; 2.33; 2.31; 2.44; 2.42
11;Marché de Lyon-Corbas : fruits et légumes; BETTE France plateau (le kg) ; 1.57; 1.57; 1.60; 1.54; 1.50; 1.49; 1.38; 1.46; 1.42; 1.54; 2.10; 1.90
12;Marché de Lyon-Corbas : fruits et légumes; BETTE Italie pied entier (le kg) ; 1.10; 1.10;  ;  ;  ;  ; 1.11; 1.12; 1.07; 1.07; 1.10; 1.07
13;MIN d'Avignon-Cavaillon : fruits et légumes; BETTE France pied entier plateau (le kg) ;  ;  ;  ; 2.00; 2.10; 2.17; 1.75; 1.70; 1.71; 1.74; 1.70; 1.70
14;MIN d'Avignon-Cavaillon : fruits et légumes; BETTE Italie pied entier plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.40; 1.35; 1.35
15;MIN de Bordeaux-Brienne : fruits et légumes; BETTE France plateau (la botte) ;  ;  ;  ;  ;  ; 1.55; 1.70; 1.48; 1.50; 1.60; 1.84; 1.80
16;MIN de Bordeaux-Brienne : fruits et légumes; BETTE Italie plateau (le kg) ;  ;  ;  ;  ;  ; 1.50; 1.60; 1.60;  ; 1.60; 1.46; 1.47
17;MIN de Nantes : fruits et légumes; BETTE France plateau (le kg) ;  ;  ; 1.57; 1.55; 1.55; 1.52; 1.50; 1.50; 1.52; 1.90; 1.93; 1.77
18;MIN de Nantes : fruits et légumes bio; BETTE France biologique vrac (le kg) ; 2.19; 2.24;  ; 2.44; 2.20; 2.33; 2.22; 2.02; 2.22; 2.18; 2.49; 2.23
19;MIN de Nice : fruits et légumes; BETTE France pied entier moyenne botte (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.00;  ;  
20;MIN de Nice : fruits et légumes; BETTE U.E. pied entier moyenne botte (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.30; 1.30; 1.25
21;MIN de Rungis : fruits et légumes 1; BETTE France (le kg) ;  ;  ; 1.70; 1.70; 1.58; 1.49; 1.40; 1.40;  ;  ;  ;  
22;MIN de Rungis : fruits et légumes 1; BETTE Italie (le kg) ; 1.20; 1.20; 1.20;  ;  ;  ;  ; 1.40; 1.30; 1.34; 1.50; 1.50
23;MIN de Rungis : fruits et légumes bio; BETTE France biologique vrac (le kg) ; 2.35; 2.48; 2.27; 2.33; 2.32; 2.49; 2.38; 2.37; 2.28; 2.26; 2.35; 2.44
24;MIN de Strasbourg : fruits et légumes; BETTE France plateau (le kg) ;  ;  ;  ;  ;  ;  ; 1.93; 1.87; 1.76; 1.90; 2.23; 2.15
25;MIN de Strasbourg : fruits et légumes bio; BETTE France biologique (le kg) ;  ;  ;  ;  ;  ;  ; 2.53; 2.58; 2.63; 2.63; 2.64; 2.54
