;Produit;Prix 1;Prix 2;Prix 3;Prix 4;Prix 5;Prix 6;Prix 7;Prix 8;Prix 9;Prix 10;Prix 11;Prix 12
0; CLÉMENTINE Méditerranée biologique tout-calibre (le kg) ;  ;  ;  ;  ;  ; 3.71; 3.70; 3.70;  ;  ;  ;  
1; CLÉMENTINE Corse feuille cat.I 1 (le kg) ;  ;  ;  ;  ;  ; 2.82; 2.74; 2.75;  ;  ;  ;  
2; CLÉMENTINE Corse feuille cat.I 2 (le kg) ;  ;  ;  ;  ;  ; 2.77; 2.72; 2.75;  ;  ;  ;  
3; CLÉMENTINE Corse feuille cat.I 3 (le kg) ;  ;  ;  ;  ;  ; 2.61; 2.59; 2.65;  ;  ;  ;  
4; CLÉMENTINE Corse feuille cat.I 4 (le kg) ;  ;  ;  ;  ;  ; 2.34; 2.36; 2.40;  ;  ;  ;  
5; CLÉMENTINE Corse feuille cat.I 5 (le kg) ;  ;  ;  ;  ;  ; 1.65;  ;  ;  ;  ;  ;  
6; CLÉMENTINE Corse feuille cat.I barq.1kg (la barquette) ;  ;  ;  ;  ;  ; 2.26; 2.34; 2.40;  ;  ;  ;  
7; CLÉMENTINE Clémenrubi Espagne biologique cat.I (le kg) ;  ;  ;  ; 3.05; 2.35;  ; 1.85;  ;  ;  ;  ;  
8; CLÉMENTINE Clémenvilla Espagne biologique cat.I (le kg) ;  ;  ;  ;  ;  ;  ; 1.72; 1.72;  ;  ;  ;  
9; CLÉMENTINE Nules Espagne biologique cat.I (le kg) ;  ;  ;  ;  ;  ; 1.77; 1.52; 1.55;  ;  ;  ;  
10; CLÉMENTINE Oronules Espagne biologique cat.I (le kg) ;  ;  ;  ;  ; 2.15; 1.85;  ;  ;  ;  ;  ;  
11; CLÉMENTINE Clémenvilla Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ; 0.81; 0.94;  ;  ;  ;  
12; CLÉMENTINE Clémenvilla haut de gamme Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ; 1.16; 1.11;  ;  ;  ;  
13; CLÉMENTINE Clémenvilla haut de gamme Espagne cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ; 1.00;  ;  ;  ;  ;  
14; CLÉMENTINE Espagne cat.I 1 (le kg) ;  ;  ;  ; 1.80; 1.45; 1.01; 0.88; 0.87; 0.87; 0.95;  ;  
15; CLÉMENTINE Espagne cat.I 2 (le kg) ;  ;  ;  ; 1.66; 1.35; 0.91; 0.77; 0.70; 0.81; 0.90;  ;  
16; CLÉMENTINE Espagne cat.I 3 (le kg) ;  ;  ;  ; 1.48; 1.19; 0.76; 0.66; 0.61; 0.69;  ;  ;  
17; CLÉMENTINE haut de gamme Espagne cat.I 1 (le kg) ;  ;  ;  ;  ; 1.92; 1.40; 1.23; 1.20; 1.29;  ;  ;  
18; CLÉMENTINE haut de gamme Espagne cat.I 2 (le kg) ;  ;  ;  ;  ; 1.85; 1.23; 1.16; 1.14; 1.15;  ;  ;  
19; CLÉMENTINE haut de gamme Espagne cat.I 3 (le kg) ;  ;  ;  ;  ; 1.52; 1.05; 0.92; 0.90; 0.90;  ;  ;  
20; CLÉMENTINE Maroc cat.I 1 (le kg) ;  ;  ;  ;  ;  ; 1.10; 0.95; 1.23;  ;  ;  ;  
21; CLÉMENTINE Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ; 1.05; 0.94; 1.23;  ;  ;  ;  
22; CLÉMENTINE Maroc cat.I 3 (le kg) ;  ;  ;  ;  ;  ; 0.94; 0.83; 1.11;  ;  ;  ;  
23; CLÉMENTINE Corse feuille biologique (le kg) ;  ;  ;  ;  ;  ; 4.31; 4.13; 4.38;  ;  ;  ;  
24; CLÉMENTINE U.E. biologique (le kg) ;  ;  ;  ;  ; 2.83; 2.12; 1.82; 1.97; 2.23; 2.27; 2.34; 2.33
25; CLÉMENTINE Oronules Espagne cat.I 3 (le kg) ;  ;  ;  ;  ; 1.35; 1.20;  ;  ;  ;  ;  ;  
26; CLÉMENTINE Oronules Italie cat.I 3 (le kg) ;  ;  ;  ;  ;  ; 1.50; 1.24; 1.12; 1.52; 1.70;  ;  
27; CLÉMENTINE Berkane Maroc cat.I 2 (le kg) ;  ;  ;  ;  ; 1.50; 1.15; 0.92;  ;  ;  ;  ;  
28; CLÉMENTINE Berkane Maroc cat.I 3 (le kg) ;  ;  ;  ;  ; 1.30; 0.98; 0.79;  ;  ;  ;  ;  
29; CLÉMENTINE Clémenrubi Espagne cat.I 1 (le kg) ;  ;  ;  ; 2.52; 1.89;  ;  ;  ;  ;  ;  ;  
30; CLÉMENTINE Clémenrubi Espagne cat.I 2 (le kg) ;  ;  ;  ; 2.24; 1.65;  ;  ;  ;  ;  ;  ;  
31; CLÉMENTINE Clémenrubi Espagne cat.I 3 (le kg) ;  ;  ;  ; 1.60; 1.33;  ;  ;  ;  ;  ;  ;  
32; CLÉMENTINE Clémenrubi Portugal cat.I 2-3 (le kg) ;  ;  ;  ;  ; 1.77;  ;  ;  ;  ;  ;  ;  
33; CLÉMENTINE Clémenrubi Portugal cat.I 3-4 (le kg) ;  ;  ;  ;  ; 1.53;  ;  ;  ;  ;  ;  ;  
34; CLÉMENTINE Clémenrubi Portugal cat.I 4-5 (le kg) ;  ;  ;  ;  ; 1.30;  ;  ;  ;  ;  ;  ;  
35; CLÉMENTINE Clémenrubi Portugal cat.I cal 1-2 (le kg) ;  ;  ;  ; 2.48; 2.02;  ;  ;  ;  ;  ;  ;  
36; CLÉMENTINE Clémenvilla Espagne cat.I 1-X (le kg) ;  ;  ;  ;  ;  ;  ; 1.20; 1.26;  ;  ;  ;  
37; CLÉMENTINE Clémenvilla Portugal cat.I 1 (le kg) ;  ;  ;  ;  ;  ; 1.37; 1.23; 1.29;  ;  ;  ;  
38; CLÉMENTINE Corse cat.I 2 (le kg) ;  ;  ;  ;  ; 3.80; 3.52; 3.40; 3.50;  ;  ;  ;  
39; CLÉMENTINE Corse cat.I 3 (le kg) ;  ;  ;  ;  ; 3.53; 3.19; 3.19; 3.25;  ;  ;  ;  
40; CLÉMENTINE Corse cat.I 4 (le kg) ;  ;  ;  ;  ; 3.15; 2.63; 2.65; 2.85;  ;  ;  ;  
41; CLÉMENTINE Nadorcot Espagne cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.27; 1.10;  ;  
42; CLÉMENTINE Nadorcot Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.31; 1.35; 1.51;  
43; CLÉMENTINE Nour Maroc cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.24;  ;  ;  ;  
44; CLÉMENTINE Nour Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.24;  ;  ;  ;  
45; CLÉMENTINE Nour Maroc cat.I 3 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.15;  ;  ;  ;  
46; CLÉMENTINE Nules Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ; 1.18; 1.07; 1.19;  ;  ;  ;  
47; CLÉMENTINE Nules Espagne cat.I 2 (le kg) ;  ;  ;  ;  ;  ; 1.01; 0.92; 1.01;  ;  ;  ;  
48; CLÉMENTINE Nules Espagne cat.I 3 (le kg) ;  ;  ;  ;  ;  ; 0.79; 0.73; 0.81;  ;  ;  ;  
49; CLÉMENTINE Nules Espagne extra 1 (le kg) ;  ;  ;  ;  ; 1.80; 1.65; 1.51; 1.65;  ;  ;  ;  
50; CLÉMENTINE Nules Portugal cat.I 2-3 (le kg) ;  ;  ;  ;  ;  ; 1.22;  ;  ;  ;  ;  ;  
51; CLÉMENTINE Nules Portugal cat.I cal 1-2 (le kg) ;  ;  ;  ;  ;  ; 1.24;  ;  ;  ;  ;  ;  
52; CLÉMENTINE Or Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.71; 1.78;  ;  
53; CLÉMENTINE Or Israël cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.14; 1.79; 2.16; 2.90; 2.80
54; KIWI Hayward Rhône-Alpes 105-115g(27 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.40; 2.40; 2.40; 2.48;  ;  ;  
55; KIWI Hayward Rhône-Alpes  75-80g(39 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.00; 2.00; 2.00; 2.00;  ;  ;  
56; KIWI Hayward Rhône-Alpes  85-95g(33 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.30; 2.30; 2.30; 2.30;  ;  ;  
57; KIWI Roussillon 105-115g(27 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.50; 2.50; 2.50; 2.50; 2.50; 2.50;  
58; KIWI Roussillon 105-115g(27 fruits) plateau (le plateau) ;  ;  ;  ;  ;  ;  ; 11.00; 11.00; 11.00; 11.00; 11.00;  
59; KIWI Roussillon 115-125g(25 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.50; 2.50; 2.50; 2.50; 2.50; 2.50;  
60; KIWI Roussillon 125-135g(23 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.50; 2.50; 2.50; 2.50; 2.50; 2.50;  
61; KIWI Roussillon  75-80g(39 fruits) (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.10;  
62; KIWI Roussillon  80-85g(36 fruits) colis (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.10;  
63; KIWI Roussillon  95-105g(30 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.20; 2.20; 2.20; 2.20; 2.20; 2.20;  
64; KIWI Hayward Sud-Ouest cat.I  75-80g(39 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 1.80; 1.80;  ;  ;  ;  ;  
65; KIWI Hayward Sud-Ouest cat.I  80-85g(36 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.00;  ;  ;  ;  ;  ;  
66; KIWI Hayward Sud-Ouest cat.I  85-95g(33 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.10; 2.00;  ;  ;  ;  ;  
67; KIWI Hayward Sud-Ouest cat.I  95-105g(30 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.20;  ;  ;  ;  ;  ;  
