MIN de Rungis : fruits et légumes 1 - (Fruits et Légumes - Grossistes) du 01-01-19 au 01-01-20 - RNM
Date;Code libellé;Libellé;Mini;Maxi;Moyen;Unité prix
2019-01-02;20310123;AIL blanc sec Espagne cat.I 60-80mm sac 5kg;2,3;2,5;2,4;le kg
2019-01-02;57216567;AIL violet sec Espagne cat.I 60-80mm;2,3;2,6;2,5;le kg
2019-01-02;26830123;AIL violet sec France cat.I 60-80mm;4,5;5,3;4,8;le kg
2019-01-02;57227481;ANANAS Cayenne lisse Afrique B(1100-1500g) avion carton;2;2,5;2,2;le kg
2019-01-02;57227482;ANANAS Sweet Amérique centrale B(1100-1500g) avion carton;2,6;2,9;2,8;le kg
2019-01-02;24530123;ANANAS Sweet Costa-Rica cat.I B(1100-1500g) bateau conteneur;0,75;1;0,8;le kg
2019-01-02;57218041;ANANAS Sweet Côte d'Ivoire cat.I B(1100-1500g) bateau conteneur;0,8;1,05;0,85;le kg
2019-01-02;9410123;ARTICHAUT blanc Espagne cat.I 11-13cm colis de 18;2,7;3;2,8;le kg
2019-01-02;26870123;AUBERGINE Espagne cat.I;1,4;2;1,6;le kg
2019-01-02;3890123;AVOCAT Hass Espagne colis de 16;12;16;15;les 16 pièces
2019-01-02;4270123;AVOCAT Hass Espagne colis de 20;12;15;14;les 20 pièces
2019-01-02;25870123;BANANE Afrique extra;0,8;0,95;0,9;le kg
2019-01-02;25880123;BANANE Amérique centrale extra;0,8;0,95;0,9;le kg
2019-01-02;25900123;BANANE DOM extra;0,8;0,95;0,9;le kg
2019-01-02;18310123;BETTE France;1,2;1,5;1,45;le kg
2019-01-02;19950123;BETTE Italie;1;1,4;1,2;le kg
2019-01-02;9420123;BETTERAVE ROUGE ronde cuite France;1,5;1,7;1,6;le kg
2019-01-02;10380123;CAROTTE Espagne cat.I botte;;;1,1;la botte
2019-01-02;9460123;CAROTTE France cat.I sac 10kg;0,5;0,7;0,6;le kg
2019-01-02;420123;CAROTTE France extra colis 12kg;0,7;0,8;0,75;le kg
2019-01-02;400123;CÉLERI-BRANCHE vert France cat.I;0,9;1;0,95;le kg
2019-01-02;9480123;CÉLERI-BRANCHE vert Italie cat.I;0,9;1,1;0,95;le kg
2019-01-02;370123;CÉLERI-RAVE France;0,8;1,1;0,9;le kg
2019-01-02;23500123;CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau;1,85;2;1,9;le kg
2019-01-02;57209364;CHICORÉE frisée France cat.I colis de 8;12,8;14,4;13,6;les 8 pièces
2019-01-02;25020123;CHICORÉE Scarole France cat.I colis de 8;12,8;14,4;13,6;les 8 pièces
2019-01-02;1260123;CHOU blanc France cat.I;0,65;0,8;0,7;le kg
2019-01-02;26220123;CHOU blanc Pays-Bas cat.I;0,55;0,65;0,6;le kg
2019-01-02;3250123;CHOU Brocoli Espagne cat.I;1;1,2;1,1;le kg
2019-01-02;9780123;CHOU DE BRUXELLES Pays-Bas cat.I;1,4;1,6;1,5;le kg
2019-01-02;27780123;CHOU FLEUR France couronné cat.I gros;5,5;6,5;6;les 6 pièces
2019-01-02;220123;CHOU rouge France cat.I;0,7;0,8;0,75;le kg
2019-01-02;9520123;CHOU rouge Pays-Bas cat.I sac;0,7;0,8;0,75;le kg
2019-01-02;290123;CHOU vert France cat.I colis de 6;5,5;6,5;6;les 6 pièces
2019-01-02;3770123;CITRON Espagne cat.I 4(58-67mm);1,2;1,7;1,3;le kg
2019-01-02;24670123;CLÉMENTINE Berkane Maroc cat.I 2;0,8;1;0,9;le kg
2019-01-02;19340123;CLÉMENTINE Berkane Maroc cat.I 3;0,8;0,9;0,85;le kg
2019-01-02;3580123;CLÉMENTINE Clémenvilla Espagne cat.I 1-X;1,5;1,8;1,6;le kg
2019-01-02;27310123;CLÉMENTINE Corse cat.I 2;3;3,5;3,2;le kg
2019-01-02;27320123;CLÉMENTINE Corse cat.I 3;2,5;2,8;2,7;le kg
2019-01-02;27180123;CLÉMENTINE Nules Espagne cat.I 1;1;1,3;1,1;le kg
2019-01-02;4640123;CLÉMENTINE Nules Espagne cat.I 2;0,9;1,2;1;le kg
2019-01-02;23820123;CLÉMENTINE Nules Espagne extra 2 colis 10kg;1,2;1,4;1,3;le kg
2019-01-02;9570123;CONCOMBRE Espagne cat.I 500-600g colis de 12;0,45;0,55;0,5;la pièce
2019-01-02;57224865;CONCOMBRE mini Espagne cat.I;1,5;2;1,8;le kg
2019-01-02;23760123;CONCOMBRE mini Jordanie cat.I;3;3,5;3,2;le kg
2019-01-02;57224650;COURGE Butternut France;0,7;0,9;0,8;le kg
2019-01-02;57210792;COURGE Potimarron France;0,95;1,15;1;le kg
2019-01-02;28140123;COURGETTE ronde Espagne cat.I plateau;2,3;3,2;3;le kg
2019-01-02;9170123;COURGETTE verte Espagne cat.I 14-21cm;1,2;1,4;1,3;le kg
2019-01-02;28680123;ÉCHALION France cat.I 30-50mm plateau;1;1,2;1,1;le kg
2019-01-02;440123;ÉCHALOTE France cat.I;1,7;1,9;1,8;le kg
2019-01-02;3130123;ENDIVE Nord-Picardie cat.I colis 5kg;1,4;1,5;1,45;le kg
