"Libellé";"Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France - Alimentation : Produits frais";"Codes"
"idBank";"001759964";""
"Dernière mise à jour";"28/05/2021 08:45";""
"Période";"";""
"2021-05";"133.72";"P"
"2021-04";"129.34";"A"
"2021-03";"125.18";"A"
"2021-02";"125.47";"A"
"2021-01";"127.71";"A"
"2020-12";"125.58";"A"
"2020-11";"128.24";"A"
"2020-10";"124.46";"A"
"2020-09";"122.26";"A"
"2020-08";"124.32";"A"
"2020-07";"123.42";"A"
"2020-06";"131.36";"A"
"2020-05";"137.86";"U"
"2020-04";"134.11";"U"
"2020-03";"119.88";"A"
"2020-02";"120.94";"A"
"2020-01";"121.51";"A"
"2019-12";"118.25";"A"
"2019-11";"115.38";"A"
"2019-10";"115.64";"A"
"2019-09";"119.47";"A"
"2019-08";"122.49";"A"
"2019-07";"120.75";"A"
"2019-06";"117.46";"A"
"2019-05";"117.48";"A"
"2019-04";"113.8";"A"
"2019-03";"114.48";"A"
"2019-02";"117.12";"A"
"2019-01";"118.67";"A"
"2018-12";"115.85";"A"
"2018-11";"112.84";"A"
"2018-10";"115.77";"A"
"2018-09";"117.15";"A"
"2018-08";"112.89";"A"
"2018-07";"113.08";"A"
"2018-06";"113.22";"A"
"2018-05";"114.87";"A"
"2018-04";"109.76";"A"
"2018-03";"109.91";"A"
"2018-02";"108.14";"A"
"2018-01";"109.51";"A"
"2017-12";"107.43";"A"
"2017-11";"107.5";"A"
"2017-10";"108.23";"A"
"2017-09";"105.33";"A"
"2017-08";"105.59";"A"
"2017-07";"106.32";"A"
"2017-06";"106.94";"A"
"2017-05";"109.41";"A"
"2017-04";"105.62";"A"
"2017-03";"106.91";"A"
"2017-02";"109.51";"A"
"2017-01";"107.62";"A"
"2016-12";"104.69";"A"
"2016-11";"103.74";"A"
"2016-10";"103.59";"A"
"2016-09";"103.71";"A"
"2016-08";"106.39";"A"
"2016-07";"105.89";"A"
"2016-06";"105.31";"A"
"2016-05";"109.75";"A"
"2016-04";"102.06";"A"
"2016-03";"102.19";"A"
"2016-02";"98.65";"A"
"2016-01";"98.74";"A"
"2015-12";"99.11";"A"
"2015-11";"101.47";"A"
"2015-10";"103.58";"A"
"2015-09";"100.25";"A"
"2015-08";"96.05";"A"
"2015-07";"97.55";"A"
"2015-06";"101.74";"A"
"2015-05";"103.77";"A"
"2015-04";"100.6";"A"
"2015-03";"100.58";"A"
"2015-02";"98.29";"A"
"2015-01";"96.99";"A"
"2014-12";"96.14";"A"
"2014-11";"96.24";"A"
"2014-10";"96.7";"A"
"2014-09";"93.35";"A"
"2014-08";"88.98";"A"
"2014-07";"93.26";"A"
"2014-06";"96.74";"A"
"2014-05";"97.53";"A"
"2014-04";"94.76";"A"
"2014-03";"95.71";"A"
"2014-02";"94.58";"A"
"2014-01";"95.47";"A"
"2013-12";"96.77";"A"
"2013-11";"95.35";"A"
"2013-10";"95.25";"A"
"2013-09";"95.35";"A"
"2013-08";"97.7";"A"
"2013-07";"102.54";"A"
"2013-06";"108.19";"A"
"2013-05";"105.53";"A"
"2013-04";"101.05";"A"
"2013-03";"98.92";"A"
"2013-02";"95.76";"A"
"2013-01";"95.4";"A"
"2012-12";"96.36";"A"
"2012-11";"96.48";"A"
"2012-10";"97.56";"A"
"2012-09";"93.01";"A"
"2012-08";"90.79";"A"
"2012-07";"95.43";"A"
"2012-06";"100.81";"A"
"2012-05";"97.98";"A"
"2012-04";"95.09";"A"
"2012-03";"95.65";"A"
"2012-02";"90.67";"A"
"2012-01";"88.06";"A"
"2011-12";"89.5";"A"
"2011-11";"88.73";"A"
"2011-10";"88.52";"A"
"2011-09";"87.16";"A"
"2011-08";"86.28";"A"
"2011-07";"89.52";"A"
"2011-06";"93.53";"A"
"2011-05";"94.34";"A"
"2011-04";"91.23";"A"
"2011-03";"93.07";"A"
"2011-02";"90.48";"A"
"2011-01";"89.3";"A"
"2010-12";"91.01";"A"
"2010-11";"89.53";"A"
"2010-10";"87.74";"A"
"2010-09";"87.11";"A"
"2010-08";"85.96";"A"
"2010-07";"92.94";"A"
"2010-06";"97.24";"A"
"2010-05";"97.06";"A"
"2010-04";"95.11";"A"
"2010-03";"92.6";"A"
"2010-02";"89.34";"A"
"2010-01";"89.62";"A"
"2009-12";"83.16";"A"
"2009-11";"83.49";"A"
"2009-10";"82.41";"A"
"2009-09";"79.26";"A"
"2009-08";"75.77";"A"
"2009-07";"81.9";"A"
"2009-06";"87.22";"A"
"2009-05";"90.67";"A"
"2009-04";"88.67";"A"
"2009-03";"87.77";"A"
"2009-02";"88.74";"A"
"2009-01";"88.91";"A"
"2008-12";"84.96";"A"
"2008-11";"85.63";"A"
"2008-10";"88.07";"A"
"2008-09";"84.98";"A"
"2008-08";"83.81";"A"
"2008-07";"94.64";"A"
"2008-06";"96.1";"A"
"2008-05";"94.58";"A"
"2008-04";"89.28";"A"
"2008-03";"86.58";"A"
"2008-02";"85.47";"A"
"2008-01";"88.64";"A"
"2007-12";"86.27";"A"
"2007-11";"87.3";"A"
"2007-10";"87.07";"A"
"2007-09";"86.15";"A"
"2007-08";"83.51";"A"
"2007-07";"86.87";"A"
"2007-06";"92.7";"A"
"2007-05";"90.92";"A"
"2007-04";"88.54";"A"
"2007-03";"83.59";"A"
"2007-02";"83.77";"A"
"2007-01";"85.84";"A"
"2006-12";"83.47";"A"
"2006-11";"85.13";"A"
"2006-10";"82.81";"A"
"2006-09";"84.87";"A"
"2006-08";"82.09";"A"
"2006-07";"85.67";"A"
"2006-06";"88.7";"A"
"2006-05";"88.74";"A"
"2006-04";"84.99";"A"
"2006-03";"84.04";"A"
"2006-02";"84.16";"A"
"2006-01";"82.56";"A"
"2005-12";"80.55";"A"
"2005-11";"78.29";"A"
"2005-10";"76.7";"A"
"2005-09";"75.65";"A"
"2005-08";"74.96";"A"
"2005-07";"80.32";"A"
"2005-06";"86.12";"A"
"2005-05";"87.77";"A"
"2005-04";"85.4";"A"
"2005-03";"87.64";"A"
"2005-02";"81.98";"A"
"2005-01";"79.41";"A"
"2004-12";"79.04";"A"
"2004-11";"77.07";"A"
"2004-10";"75.96";"A"
"2004-09";"75.23";"A"
"2004-08";"70.33";"A"
"2004-07";"79.91";"A"
"2004-06";"87.38";"A"
"2004-05";"85.04";"A"
"2004-04";"83.73";"A"
"2004-03";"81.49";"A"
"2004-02";"78.47";"A"
"2004-01";"82.01";"A"
"2003-12";"79.41";"A"
"2003-11";"81.46";"A"
"2003-10";"83.37";"A"
"2003-09";"86.43";"A"
"2003-08";"81.87";"A"
"2003-07";"84.16";"A"
"2003-06";"88.12";"A"
"2003-05";"84.02";"A"
"2003-04";"85.04";"A"
"2003-03";"83.77";"A"
"2003-02";"81.76";"A"
"2003-01";"80.7";"A"
"2002-12";"76.04";"A"
"2002-11";"75.99";"A"
"2002-10";"76.79";"A"
"2002-09";"75.53";"A"
"2002-08";"74.07";"A"
"2002-07";"78.94";"A"
"2002-06";"83.2";"A"
"2002-05";"83.96";"A"
"2002-04";"83.74";"A"
"2002-03";"83.79";"A"
"2002-02";"83.41";"A"
"2002-01";"85.15";"A"
"2001-12";"74.83";"A"
"2001-11";"73.18";"A"
"2001-10";"75.04";"A"
"2001-09";"73.25";"A"
"2001-08";"72.75";"A"
"2001-07";"80.45";"A"
"2001-06";"82.36";"A"
"2001-05";"83.34";"A"
"2001-04";"76.4";"A"
"2001-03";"74.48";"A"
"2001-02";"71.13";"A"
"2001-01";"71.89";"A"
"2000-12";"70.95";"A"
"2000-11";"71.71";"A"
"2000-10";"69.34";"A"
"2000-09";"68.77";"A"
"2000-08";"67.32";"A"
"2000-07";"69.14";"A"
"2000-06";"72.59";"A"
"2000-05";"72.73";"A"
"2000-04";"71.4";"A"
"2000-03";"68.54";"A"
"2000-02";"69.03";"A"
"2000-01";"68.05";"A"
"1999-12";"68.48";"A"
"1999-11";"67.33";"A"
"1999-10";"65.62";"A"
"1999-09";"62.97";"A"
"1999-08";"61.51";"A"
"1999-07";"66.72";"A"
"1999-06";"71.61";"A"
"1999-05";"72.85";"A"
"1999-04";"71.62";"A"
"1999-03";"71.42";"A"
"1999-02";"70.51";"A"
"1999-01";"71.18";"A"
"1998-12";"68.7";"A"
"1998-11";"67.41";"A"
"1998-10";"66.21";"A"
"1998-09";"66.94";"A"
"1998-08";"67.53";"A"
"1998-07";"71.12";"A"
"1998-06";"74.48";"A"
